"id","name","pokemonBase","tipo1","tipo2","ps","ataque","defensa","ataqueEsp","defensaEsp","velocidad","sprite","slug"
"dugtrio","Dugtrio","Dugtrio","Tierra",,"35","100","50","50","70","120","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/df/latest/20251020084956/Tipo_hada_LPZA.png/80px-Tipo_hada_LPZA.png","Dugtrio"
"dugtrio-de-alola","Dugtrio de Alola","Dugtrio","Tierra","Acero","35","100","60","50","70","110","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Dugtrio_de_Alola"
"dunsparce","Dunsparce","Dunsparce","Normal",,"100","70","70","65","65","45","https://images.wikidexcdn.net/mwuploads/wikidex/3/38/latest/20260306153303/Segunda_generaci%C3%B3n.svg","Dunsparce"
"duosion","Duosion","Duosion","Psíquico",,"65","40","50","125","60","30","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Duosion"
"duraludon","Duraludon","Duraludon","Acero","Dragón","70","95","115","120","50","85","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Duraludon"
"durant","Durant","Durant","Bicho","Acero","58","109","112","48","48","109","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Durant"
"dusclops","Dusclops","Dusclops","Fantasma",,"40","70","130","60","130","25","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Dusclops"
"dusknoir","Dusknoir","Dusknoir","Fantasma",,"45","100","135","65","135","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Dusknoir"
"duskull","Duskull","Duskull","Fantasma",,"20","40","90","30","90","25","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Duskull"
"dustox","Dustox","Dustox","Bicho","Veneno","60","50","70","50","90","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Dustox"
"dwebble","Dwebble","Dwebble","Bicho","Roca","50","65","85","35","35","55","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Dwebble"
"eelektrik","Eelektrik","Eelektrik","Eléctrico",,"65","85","70","75","70","40","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Eelektrik"
"eelektross","Eelektross","Eelektross","Eléctrico",,"85","115","80","105","80","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Eelektross"
"eevee","Eevee","Eevee","Normal",,"55","55","50","45","65","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0f/latest/20161118042212/Eeveestal_Z_%28Dream_World%29.png/32px-Eeveestal_Z_%28Dream_World%29.png","Eevee"
"ekans","Ekans","Ekans","Veneno",,"35","60","44","40","54","55","https://images.wikidexcdn.net/mwuploads/wikidex/3/38/latest/20260306153303/Segunda_generaci%C3%B3n.svg","Ekans"
"eldegoss","Eldegoss","Eldegoss","Planta",,"60","50","90","80","120","60","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Eldegoss"
"electabuzz","Electabuzz","Electabuzz","Eléctrico",,"65","83","57","95","85","105","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Electabuzz"
"electivire","Electivire","Electivire","Eléctrico",,"75","123","67","95","85","95","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c6/latest/20251020084932/Tipo_el%C3%A9ctrico_LPZA.png/80px-Tipo_el%C3%A9ctrico_LPZA.png","Electivire"
"electrike","Electrike","Electrike","Eléctrico",,"40","45","40","65","40","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/71/latest/20251020124243/Tipo_insecto_LPZA.png/80px-Tipo_insecto_LPZA.png","Electrike"
"electrode","Electrode","Electrode","Eléctrico",,"60","50","70","80","80","150","https://images.wikidexcdn.net/mwuploads/wikidex/3/38/latest/20260306153303/Segunda_generaci%C3%B3n.svg","Electrode"
"electrode-de-hisui","Electrode de Hisui","Electrode","Eléctrico","Planta","60","50","70","80","80","150","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/32/latest/20251020084942/Tipo_hielo_LPZA.png/80px-Tipo_hielo_LPZA.png","Electrode_de_Hisui"
"electrofuria","Electrofuria","Electrofuria","Eléctrico","Dragón","125","73","91","137","89","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Electrofuria"
"elekid","Elekid","Elekid","Eléctrico",,"45","63","37","65","55","95","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Elekid"
"elgyem","Elgyem","Elgyem","Psíquico",,"55","55","55","85","55","30","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Elgyem"
"emboar","Emboar","Emboar","Fuego","Lucha","110","123","65","100","65","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Emboar"
"emolga","Emolga","Emolga","Eléctrico","Volador","55","75","60","75","60","103","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Emolga"
"empoleon","Empoleon","Empoleon","Agua","Acero","84","86","88","111","101","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Empoleon"
"entei","Entei","Entei","Fuego",,"115","115","85","90","75","100","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/97/latest/20251020084919/Tipo_fuego_LPZA.png/80px-Tipo_fuego_LPZA.png","Entei"
"escavalier","Escavalier","Escavalier","Bicho","Acero","70","135","105","60","105","20","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Escavalier"
"espathra","Espathra","Espathra","Psíquico",,"95","60","60","101","60","105","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Espathra"
"espeon","Espeon","Espeon","Psíquico",,"65","65","60","130","95","110","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Espeon"
"espurr","Espurr","Espurr","Psíquico",,"62","48","54","63","60","68","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Espurr"
"eternatus","Eternatus","Eternatus","Veneno","Dragón","140","85","95","145","95","130","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Eternatus"
"eternatus-dinamax-infinito","Eternatus Dinamax infinito","Eternatus","Veneno","Dragón","255","115","250","125","250","130","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Eternatus"
"excadrill","Excadrill","Excadrill","Tierra","Acero","110","135","60","50","65","88","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Excadrill"
"exeggcute","Exeggcute","Exeggcute","Planta","Psíquico","60","40","80","60","45","40","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Exeggcute"
"exeggutor","Exeggutor","Exeggutor","Planta","Psíquico","95","95","85","125","75","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Exeggutor"
"exeggutor-de-alola","Exeggutor de Alola","Exeggutor","Planta","Dragón","95","105","85","125","75","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Exeggutor_de_Alola"
"exploud","Exploud","Exploud","Normal",,"104","91","63","91","73","68","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2e/latest/20251020124236/Tipo_pelea_LPZA.png/80px-Tipo_pelea_LPZA.png","Exploud"
"falinks","Falinks","Falinks","Lucha",,"65","100","100","70","60","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Falinks"
"farfetch-d","Farfetch’d","Farfetch’d","Normal","Volador","52","90","55","58","62","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Farfetch’d"
"farfetch-d-de-galar","Farfetch’d de Galar","Farfetch’d","Lucha",,"52","95","55","58","62","55","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Farfetch’d_de_Galar"
"farigiraf","Farigiraf","Farigiraf","Normal","Psíquico","120","90","70","110","70","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Farigiraf"
"fearow","Fearow","Fearow","Normal","Volador","65","90","65","61","61","100","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Fearow"
"feebas","Feebas","Feebas","Agua",,"20","15","20","10","55","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Feebas"
"fennekin","Fennekin","Fennekin","Fuego",,"40","45","40","62","60","60","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Fennekin"
"feraligatr","Feraligatr","Feraligatr","Agua",,"85","105","100","79","83","78","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Feraligatr"
"ferrocuello","Ferrocuello","Ferrocuello","Siniestro","Volador","94","80","86","122","80","108","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferrocuello"
"ferrodada","Ferrodada","Ferrodada","Tierra","Acero","90","112","120","72","70","106","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferrodada"
"ferromole","Ferromole","Ferromole","Roca","Psíquico","90","120","80","68","108","124","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferromole"
"ferropaladin","Ferropaladín","Ferropaladín","Hada","Lucha","74","130","90","120","60","116","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9b/latest/20221208180717/Tipo_ps%C3%ADquico_EP.png/90px-Tipo_ps%C3%ADquico_EP.png","Ferropaladín"
"ferropalmas","Ferropalmas","Ferropalmas","Lucha","Eléctrico","154","140","108","50","68","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferropalmas"
"ferropolilla","Ferropolilla","Ferropolilla","Fuego","Veneno","80","70","60","140","110","110","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferropolilla"
"ferropuas","Ferropúas","Ferropúas","Roca","Eléctrico","100","134","110","70","84","72","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferropúas"
"ferrosaco","Ferrosaco","Ferrosaco","Hielo","Agua","56","80","114","124","60","136","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferrosaco"
"ferroseed","Ferroseed","Ferroseed","Planta","Acero","44","50","91","24","86","10","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Ferroseed"
"ferrotesta","Ferrotesta","Ferrotesta","Acero","Psíquico","90","72","100","122","108","98","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferrotesta"
"ferrothorn","Ferrothorn","Ferrothorn","Planta","Acero","74","94","131","54","116","20","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Ferrothorn"
"ferroverdor","Ferroverdor","Ferroverdor","Planta","Psíquico","90","130","88","70","108","104","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Ferroverdor"
"fezandipiti","Fezandipiti","Fezandipiti","Veneno","Hada","88","91","82","70","125","99","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Fezandipiti"
"fidough","Fidough","Fidough","Hada",,"37","55","70","30","55","65","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Fidough"
"finizen","Finizen","Finizen","Agua",,"70","45","40","45","40","75","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Finizen"
"finneon","Finneon","Finneon","Agua",,"49","49","56","49","61","66","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Finneon"
"flaaffy","Flaaffy","Flaaffy","Eléctrico",,"70","55","55","80","60","45","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c6/latest/20251020084932/Tipo_el%C3%A9ctrico_LPZA.png/80px-Tipo_el%C3%A9ctrico_LPZA.png","Flaaffy"
"flabebe","Flabébé","Flabébé","Hada",,"44","38","39","61","79","42","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Flabébé"
"flamariete","Flamariete","Flamariete","Fuego","Dragón","105","115","121","65","93","91","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Flamariete"
"flamigo","Flamigo","Flamigo","Volador","Lucha","82","115","74","75","64","90","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Flamigo"
"flapple","Flapple","Flapple","Planta","Dragón","70","110","80","95","60","70","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Flapple"
"flareon","Flareon","Flareon","Fuego",,"65","130","60","95","110","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Flareon"
"fletchinder","Fletchinder","Fletchinder","Fuego","Volador","62","73","55","56","52","84","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Fletchinder"
"fletchling","Fletchling","Fletchling","Normal","Volador","45","50","43","40","38","62","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Fletchling"
"flittle","Flittle","Flittle","Psíquico",,"30","35","30","55","30","75","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Flittle"
"floatzel","Floatzel","Floatzel","Agua",,"85","105","55","85","50","115","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/97/latest/20251020084923/Tipo_agua_LPZA.png/80px-Tipo_agua_LPZA.png","Floatzel"
"floette","Floette","Floette","Hada",,"54","45","47","75","98","52","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Floette"
"floette-flor-eterna","Floette Flor Eterna","Floette","Hada",,"74","65","67","125","128","92","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Floette"
"floragato","Floragato","Floragato","Planta",,"61","80","63","60","63","83","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Floragato"
"florges","Florges","Florges","Hada",,"78","65","68","112","154","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Florges"
"flygon","Flygon","Flygon","Tierra","Dragón","80","100","80","80","80","100","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Flygon"
"fomantis","Fomantis","Fomantis","Planta",,"40","55","35","50","35","35","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Fomantis"
"foongus","Foongus","Foongus","Planta","Veneno","69","55","45","55","55","15","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Foongus"
"forma-ataque","Forma ataque","Deoxys","Psíquico",,"50","180","20","180","20","150","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Deoxys"
"forma-avatar","Forma avatar","Landorus","Tierra","Volador","89","125","90","115","80","101","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4c/latest/20251020084900/Tipo_roca_LPZA.png/80px-Tipo_roca_LPZA.png","Landorus"
"forma-avatar-1","Forma avatar","Thundurus","Eléctrico","Volador","79","115","70","125","80","111","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Thundurus"
"forma-avatar-2","Forma avatar","Tornadus","Volador",,"79","115","70","125","80","111","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Tornadus"
"forma-avatar-3","Forma avatar","Enamorus","Hada","Volador","74","115","70","135","80","106","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3f/latest/20251020084849/Tipo_veneno_LPZA.png/80px-Tipo_veneno_LPZA.png","Enamorus"
"forma-banco","Forma banco","Wishiwashi","Agua",,"45","140","130","140","135","30","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Wishiwashi"
"forma-cielo","Forma cielo","Shaymin","Planta",,"100","103","75","120","75","127","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Shaymin"
"forma-crepuscular","Forma crepuscular","Lycanroc","Roca",,"75","117","65","55","65","110","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ad/latest/20171126220648/Lycanroc.png/200px-Lycanroc.png","Lycanroc"
"forma-danza","Forma danza","Meloetta","Normal","Psíquico","100","128","90","77","77","128","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Meloetta"
"forma-defensa","Forma defensa","Deoxys","Psíquico",,"50","70","160","70","160","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d5/latest/20150621184218/Deoxys.png/200px-Deoxys.png","Deoxys"
"forma-diurna","Forma diurna","Lycanroc","Roca",,"75","115","65","55","65","112","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Lycanroc"
"forma-heroica","Forma heroica","Palafin","Agua",,"100","160","97","106","87","100","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Palafin"
"forma-individual","Forma individual","Wishiwashi","Agua",,"45","20","20","25","25","40","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Wishiwashi"
"forma-ingenua","Forma ingenua","Palafin","Agua",,"100","70","72","53","62","100","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Palafin"
"forma-lirica","Forma lírica","Meloetta","Normal","Psíquico","100","77","77","128","128","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Meloetta"
"forma-meteorito","Forma meteorito","Minior","Roca","Volador","60","60","100","60","100","60","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Minior"
"forma-modificada","Forma modificada","Giratina","Fantasma","Dragón","150","100","120","100","120","90","https://images.wikidexcdn.net/mwuploads/wikidex/5/5a/latest/20260306180611/Cuarta_generaci%C3%B3n.svg","Giratina"
"forma-nocturna","Forma nocturna","Lycanroc","Roca",,"85","115","75","55","75","82","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Lycanroc"
"forma-normal","Forma normal","Deoxys","Psíquico",,"50","150","50","150","50","150","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Deoxys"
"forma-nucleo","Forma núcleo","Minior","Roca","Volador","60","100","60","100","60","120","https://images.wikidexcdn.net/mwuploads/wikidex/a/a6/latest/20260306153527/S%C3%A9ptima_generaci%C3%B3n.svg","Minior"
"forma-origen","Forma origen","Dialga","Acero","Dragón","100","100","120","150","120","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4c/latest/20251020084900/Tipo_roca_LPZA.png/80px-Tipo_roca_LPZA.png","Dialga"
"forma-origen-1","Forma origen","Giratina","Fantasma","Dragón","150","120","100","120","100","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20150621182843/Giratina_modificada.png/200px-Giratina_modificada.png","Giratina"
"forma-origen-2","Forma origen","Palkia","Agua","Dragón","90","100","100","150","120","120","https://images.wikidexcdn.net/mwuploads/wikidex/5/5a/latest/20260306180611/Cuarta_generaci%C3%B3n.svg","Palkia"
"forma-tierra","Forma tierra","Shaymin","Planta",,"100","100","100","100","100","100","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/80px-Tipo_normal_LPZA.png","Shaymin"
"forma-totem","Forma tótem","Landorus","Tierra","Volador","89","145","90","105","80","91","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1c/latest/20161201010213/Landorus_avatar.png/200px-Landorus_avatar.png","Landorus"
"forma-totem-1","Forma tótem","Thundurus","Eléctrico","Volador","79","105","70","145","80","101","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2c/latest/20141113215731/Thundurus_avatar.png/200px-Thundurus_avatar.png","Thundurus"
"forma-totem-2","Forma tótem","Tornadus","Volador",,"79","100","80","110","90","121","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1d/latest/20141113215853/Tornadus_avatar.png/200px-Tornadus_avatar.png","Tornadus"
"forma-totem-3","Forma tótem","Enamorus","Hada","Volador","74","115","110","135","100","46","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20220216073029/Enamorus_avatar.png/200px-Enamorus_avatar.png","Enamorus"
"forma-velocidad","Forma velocidad","Deoxys","Psíquico",,"50","95","90","95","90","180","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d5/latest/20150621184218/Deoxys.png/200px-Deoxys.png","Deoxys"
"forretress","Forretress","Forretress","Bicho","Acero","75","90","140","60","60","40","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Forretress"
"fraxure","Fraxure","Fraxure","Dragón",,"66","117","70","40","50","67","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Fraxure"
"frigibax","Frigibax","Frigibax","Dragón","Hielo","65","75","45","35","45","55","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Frigibax"
"frillish","Frillish","Frillish","Agua","Fantasma","55","40","50","65","85","40","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Frillish"
"froakie","Froakie","Froakie","Agua",,"41","56","40","62","44","71","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Froakie"
"frogadier","Frogadier","Frogadier","Agua",,"54","63","52","83","56","97","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Frogadier"
"froslass","Froslass","Froslass","Hielo","Fantasma","70","80","70","80","70","110","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Froslass"
"frosmoth","Frosmoth","Frosmoth","Hielo","Bicho","70","65","60","125","90","65","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Frosmoth"
"fuecoco","Fuecoco","Fuecoco","Fuego",,"67","45","59","63","40","36","https://images.wikidexcdn.net/mwuploads/wikidex/8/8c/latest/20260306153605/Novena_generaci%C3%B3n.svg","Fuecoco"
"furfrou","Furfrou","Furfrou","Normal",,"75","80","60","65","90","102","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Furfrou"
"furioseta","Furioseta","Furioseta","Planta","Siniestro","111","127","99","79","99","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/99/latest/20221208180705/Tipo_normal_EP.png/90px-Tipo_normal_EP.png","Furioseta"
